mouse_key,Group,Period,day_index,pupil_mean,pupil_baseline,pupil_pct,pupil_delta
6100_black,Active,Re-exposure,18,29.4420913902,24.726476460709,19.07111568032846,4.715614929491
6100_orange,Passive,Pre,3,26.7860161075059,26.7860161075059,0.0,0.0
6100_orange,Passive,Pre,4,27.5694536992078,26.7860161075059,2.9248007189929406,0.7834375917018974
6100_orange,Passive,Pre,5,25.2428862267433,26.7860161075059,-5.7609533070137715,-1.5431298807626028
6100_orange,Passive,During,6,26.6430421853469,26.7860161075059,-0.5337632949415625,-0.14297392215900118
6100_orange,Passive,During,7,39.1815525629599,26.7860161075059,46.27614799343213,12.395536455454
6100_orange,Passive,During,8,34.3946580584396,26.7860161075059,28.40527654577804,7.608641950933702
6100_orange,Passive,During,9,30.4496940832307,26.7860161075059,13.677576990249673,3.6636779757247986
6100_orange,Passive,During,10,37.1259640421053,26.7860161075059,38.60203732089137,10.339947934599401
6100_orange,Passive,Post,11,37.0933268166899,26.7860161075059,38.48019305228341,10.307310709184001
6100_orange,Passive,Post,12,40.6080901458511,26.7860161075059,51.60182829305481,13.8220740383452
6100_orange,Passive,Post,13,26.6867828285202,26.7860161075059,-0.37046673378910333,-0.09923327898570022
6100_orange,Passive,Withdrawal,14,28.0228433802274,26.7860161075059,4.617436455490365,1.2368272727214986
6100_orange,Passive,Withdrawal,15,26.9570738670947,26.7860161075059,0.6386084399496236,0.17105775958879832
6100_orange,Passive,Withdrawal,16,24.7292479092872,26.7860161075059,-7.678514751741526,-2.056768198218702
6100_orange,Passive,Re-exposure,17,35.2939356557968,26.7860161075059,31.7625417462018,8.5079195482909
6100_orange,Passive,Re-exposure,18,28.4815517113599,26.7860161075059,6.329928262004141,1.6955356038539975
6100_red,Passive,Pre,3,15.6720791363423,15.9127294604266,-1.5123133003849214,-0.2406503240843012
6100_red,Passive,Pre,4,15.9127294604266,15.9127294604266,0.0,0.0
6100_red,Passive,Pre,5,16.7990140605959,15.9127294604266,5.569657941922558,0.8862846001693008
6100_red,Passive,During,6,20.4112116332405,15.9127294604266,28.269708122677418,4.498482172813901
6100_red,Passive,During,7,19.8391124871754,15.9127294604266,24.674478608546245,3.9263830267487982
6100_red,Passive,During,8,18.7900618385329,15.9127294604266,18.08195372932056,2.877332378106299
6100_red,Passive,During,9,21.3463838086324,15.9127294604266,34.14658912990864,5.433654348205799
6100_red,Passive,During,10,38.2528915950016,15.9127294604266,140.3917674220051,22.340162134575
6100_red,Passive,Post,11,21.091896098993,15.9127294604266,32.54731786552697,5.1791666385664
6100_red,Passive,Post,12,22.854411302263,15.9127294604266,43.62345164668124,6.941681841836399
6100_red,Passive,Post,13,23.9275281130663,15.9127294604266,50.36721495562227,8.014798652639698
6100_red,Passive,Withdrawal,14,23.8519252340287,15.9127294604266,49.89210552059029,7.939195773602098
6100_red,Passive,Withdrawal,15,24.0638672984843,15.9127294604266,51.22400816483923,8.1511378380577
6100_red,Passive,Withdrawal,16,22.1814827069712,15.9127294604266,39.39458194230207,6.268753246544598
6100_red,Passive,Re-exposure,17,22.4852412743114,15.9127294604266,41.30348492526057,6.572511813884798
6100_red,Passive,Re-exposure,18,23.7056459076193,15.9127294604266,48.97284571181153,7.792916447192699
